name,age,city
Alice,30,New York
Bob,25,Los Angeles
Charlie,35,Chicago
Diana,28,San Francisco
Eve,32,Boston
Frank,27,Seattle
Grace,29,Austin
Hank,31,Denver
Irene,33,Phoenix
Jack,26,San Diego
Karen,34,Dallas
Leo,28,San Jose
Mona,30,Indianapolis
Nate,25,Columbus
Olivia,33,Charlotte
Paul,29,Portland
Quincy,35,Las Vegas
Rachel,28,Oklahoma City
Steve,32,Louisville
Tina,27,Baltimore
Ursula,29,Milwaukee
Victor,31,Albuquerque
Wendy,33,Kansas City
Xavier,26,Mesa
Yvonne,34,Atlanta
Zach,28,Omaha
Amy,30,Colorado Springs
Brian,25,Raleigh
Cindy,35,Miami
David,28,Long Beach
Ella,32,Cleveland
Fred,27,Virginia Beach
Gina,29,Oakland
Harry,31,Minneapolis
Ivy,33,Tulsa
Jake,26,Arlington
Kelly,34,New Orleans
Larry,28,Wichita
Mandy,30,Bakersfield
Nick,25,Tampa
Oscar,35,Anaheim
Patty,28,Honolulu
Quentin,32,Pittsburgh
Rita,27,Toledo
